Date_reported, Country_code, Country, WHO_region, New_cases, Cumulative_cases, New_deaths, Cumulative_deaths
2020-02-01,GB,The United Kingdom,EURO,2,2,0,0
2020-02-02,GB,The United Kingdom,EURO,0,2,0,0
2020-02-03,GB,The United Kingdom,EURO,0,2,0,0
2020-02-04,GB,The United Kingdom,EURO,0,2,0,0
2020-02-05,GB,The United Kingdom,EURO,1,3,0,0
2020-02-06,GB,The United Kingdom,EURO,0,3,0,0
2020-02-07,GB,The United Kingdom,EURO,1,4,0,0
2020-02-08,GB,The United Kingdom,EURO,0,4,0,0
2020-02-09,GB,The United Kingdom,EURO,0,4,0,0
2020-02-10,GB,The United Kingdom,EURO,4,8,0,0
2020-02-11,GB,The United Kingdom,EURO,1,9,0,0
2020-02-12,GB,The United Kingdom,EURO,0,9,0,0
2020-02-13,GB,The United Kingdom,EURO,1,10,0,0
2020-02-14,GB,The United Kingdom,EURO,0,10,0,0
2020-02-15,GB,The United Kingdom,EURO,0,10,0,0
2020-02-16,GB,The United Kingdom,EURO,0,10,0,0
2020-02-17,GB,The United Kingdom,EURO,0,10,0,0
2020-02-18,GB,The United Kingdom,EURO,0,10,0,0
2020-02-19,GB,The United Kingdom,EURO,0,10,0,0
2020-02-20,GB,The United Kingdom,EURO,0,10,0,0
2020-02-21,GB,The United Kingdom,EURO,0,10,0,0
2020-02-22,GB,The United Kingdom,EURO,0,10,0,0
2020-02-23,GB,The United Kingdom,EURO,1,11,0,0
2020-02-24,GB,The United Kingdom,EURO,0,11,0,0
2020-02-25,GB,The United Kingdom,EURO,0,11,0,0
2020-02-26,GB,The United Kingdom,EURO,2,13,0,0
2020-02-27,GB,The United Kingdom,EURO,5,18,0,0
2020-02-28,GB,The United Kingdom,EURO,4,22,0,0
2020-02-29,GB,The United Kingdom,EURO,8,30,0,0
2020-03-01,GB,The United Kingdom,EURO,12,42,0,0
2020-03-02,GB,The United Kingdom,EURO,5,47,0,0
2020-03-03,GB,The United Kingdom,EURO,22,69,0,0
2020-03-04,GB,The United Kingdom,EURO,40,109,0,0
2020-03-05,GB,The United Kingdom,EURO,55,164,0,0
2020-03-06,GB,The United Kingdom,EURO,56,220,0,0
2020-03-07,GB,The United Kingdom,EURO,51,271,1,1
2020-03-08,GB,The United Kingdom,EURO,81,352,1,2
2020-03-09,GB,The United Kingdom,EURO,60,412,0,2
